;xmin;ymin;xmax;ymax;detection_score;file_name;section_id
0;382.0;1289.0;678.0;1686.0;0.9961466789245605;100_D.jpg;100_D.jpg@382.0-678.0-1289.0-1686.0
1;1152.0;2169.0;1749.0;2706.0;0.9961207707722982;100_D.jpg;100_D.jpg@1152.0-1749.0-2169.0-2706.0
2;3070.0;6516.0;3245.0;6701.0;0.9945535659790039;100_D.jpg;100_D.jpg@3070.0-3245.0-6516.0-6701.0
3;2902.0;3139.0;3085.0;3325.0;0.9942872524261475;100_D.jpg;100_D.jpg@2902.0-3085.0-3139.0-3325.0
4;3049.0;4090.0;3274.0;4314.0;0.9942227999369303;100_D.jpg;100_D.jpg@3049.0-3274.0-4090.0-4314.0
5;1629.0;3191.0;1809.0;3452.0;0.99415389696757;100_D.jpg;100_D.jpg@1629.0-1809.0-3191.0-3452.0
6;2996.0;3817.0;3174.0;4058.0;0.9938313166300455;100_D.jpg;100_D.jpg@2996.0-3174.0-3817.0-4058.0
7;1872.0;2591.0;2053.0;2847.0;0.9935804208119711;100_D.jpg;100_D.jpg@1872.0-2053.0-2591.0-2847.0
8;2567.0;2510.0;2947.0;3170.0;0.992843230565389;100_D.jpg;100_D.jpg@2567.0-2947.0-2510.0-3170.0
9;1738.0;4363.0;1973.0;4593.0;0.992707888285319;100_D.jpg;100_D.jpg@1738.0-1973.0-4363.0-4593.0
10;1392.0;4593.0;1567.0;4835.0;0.9918862183888754;100_D.jpg;100_D.jpg@1392.0-1567.0-4593.0-4835.0
11;1253.0;1172.0;1480.0;1406.0;0.9918176333109537;100_D.jpg;100_D.jpg@1253.0-1480.0-1172.0-1406.0
12;1800.0;3247.0;2015.0;3518.0;0.9916576544443766;100_D.jpg;100_D.jpg@1800.0-2015.0-3247.0-3518.0
13;2444.0;7045.0;2563.0;7219.0;0.9915745258331299;100_D.jpg;100_D.jpg@2444.0-2563.0-7045.0-7219.0
14;1013.0;1131.0;1214.0;1436.0;0.9915370941162109;100_D.jpg;100_D.jpg@1013.0-1214.0-1131.0-1436.0
15;981.0;3930.0;1182.0;4178.0;0.9915146827697754;100_D.jpg;100_D.jpg@981.0-1182.0-3930.0-4178.0
16;2212.0;5812.0;2328.0;5984.0;0.9912631511688232;100_D.jpg;100_D.jpg@2212.0-2328.0-5812.0-5984.0
17;3044.0;3613.0;3263.0;3788.0;0.9907633463541666;100_D.jpg;100_D.jpg@3044.0-3263.0-3613.0-3788.0
18;2724.0;5056.0;2965.0;5280.0;0.9905103047688802;100_D.jpg;100_D.jpg@2724.0-2965.0-5056.0-5280.0
19;2272.0;6778.0;2499.0;6988.0;0.9904510180155436;100_D.jpg;100_D.jpg@2272.0-2499.0-6778.0-6988.0
20;1956.0;2254.0;2198.0;2448.0;0.990256150563558;100_D.jpg;100_D.jpg@1956.0-2198.0-2254.0-2448.0
21;525.0;2770.0;666.0;3082.0;0.9897053241729736;100_D.jpg;100_D.jpg@525.0-666.0-2770.0-3082.0
22;3050.0;4310.0;3233.0;4561.0;0.9890456994374593;100_D.jpg;100_D.jpg@3050.0-3233.0-4310.0-4561.0
23;1054.0;1460.0;1287.0;1767.0;0.988997220993042;100_D.jpg;100_D.jpg@1054.0-1287.0-1460.0-1767.0
24;2336.0;7436.0;2499.0;7582.0;0.988610585530599;100_D.jpg;100_D.jpg@2336.0-2499.0-7436.0-7582.0
25;2407.0;5930.0;2543.0;6100.0;0.9885991414388021;100_D.jpg;100_D.jpg@2407.0-2543.0-5930.0-6100.0
26;2439.0;6225.0;2566.0;6449.0;0.9885940551757812;100_D.jpg;100_D.jpg@2439.0-2566.0-6225.0-6449.0
27;2677.0;6259.0;2837.0;6465.0;0.9885452588399252;100_D.jpg;100_D.jpg@2677.0-2837.0-6259.0-6465.0
28;2840.0;3877.0;3164.0;4861.0;0.9883910814921061;100_D.jpg;100_D.jpg@2840.0-3164.0-3877.0-4861.0
29;2557.0;3552.0;2724.0;3757.0;0.9882893562316895;100_D.jpg;100_D.jpg@2557.0-2724.0-3552.0-3757.0
30;488.0;2582.0;627.0;2863.0;0.9881859620412191;100_D.jpg;100_D.jpg@488.0-627.0-2582.0-2863.0
31;971.0;2385.0;1242.0;2676.0;0.9881747563680013;100_D.jpg;100_D.jpg@971.0-1242.0-2385.0-2676.0
32;2784.0;6291.0;2955.0;6575.0;0.9877630074818929;100_D.jpg;100_D.jpg@2784.0-2955.0-6291.0-6575.0
33;959.0;3582.0;1458.0;3790.0;0.9877013365427653;100_D.jpg;100_D.jpg@959.0-1458.0-3582.0-3790.0
34;2767.0;6634.0;2875.0;6795.0;0.9873854319254557;100_D.jpg;100_D.jpg@2767.0-2875.0-6634.0-6795.0
35;1653.0;3905.0;1961.0;4133.0;0.9872728983561198;100_D.jpg;100_D.jpg@1653.0-1961.0-3905.0-4133.0
36;2967.0;6279.0;3283.0;6525.0;0.9863917032877604;100_D.jpg;100_D.jpg@2967.0-3283.0-6279.0-6525.0
37;562.0;2214.0;679.0;2482.0;0.9859839280446371;100_D.jpg;100_D.jpg@562.0-679.0-2214.0-2482.0
38;419.0;1668.0;564.0;1893.0;0.9858739376068115;100_D.jpg;100_D.jpg@419.0-564.0-1668.0-1893.0
39;2055.0;2845.0;2755.0;3514.0;0.9856143792470297;100_D.jpg;100_D.jpg@2055.0-2755.0-2845.0-3514.0
40;2434.0;6811.0;2619.0;6980.0;0.9848246574401855;100_D.jpg;100_D.jpg@2434.0-2619.0-6811.0-6980.0
41;2176.0;2292.0;2560.0;2825.0;0.9842283725738525;100_D.jpg;100_D.jpg@2176.0-2560.0-2292.0-2825.0
42;2794.0;3259.0;3046.0;3447.0;0.9841427803039551;100_D.jpg;100_D.jpg@2794.0-3046.0-3259.0-3447.0
43;2936.0;5033.0;3170.0;5366.0;0.9837917486826578;100_D.jpg;100_D.jpg@2936.0-3170.0-5033.0-5366.0
44;2961.0;6591.0;3113.0;6821.0;0.983375628789266;100_D.jpg;100_D.jpg@2961.0-3113.0-6591.0-6821.0
45;1982.0;6232.0;2126.0;6413.0;0.9832972685496012;100_D.jpg;100_D.jpg@1982.0-2126.0-6232.0-6413.0
